ano;mês;valor
2018;julho;59,09
2018;agosto;57,74
2018;setembro;58,61
2018;outubro;58,92
2018;novembro;59,67
2018;dezembro;59,67
2019;janeiro;59,87
2019;fevereiro;59
2019;março;58,79
2019;abril;57,54
2019;maio;55,75
2019;junho;58,98
2019;julho;56,62
2019;agosto;59,3
2019;setembro;63,15
2019;outubro;62,69
2019;novembro;64,13
2019;dezembro;65,56
