,new_cases_smoothed
2020-10-20,22862.571
2020-10-21,22578.571
2020-10-22,21769.714
2020-10-23,21970.429
2020-10-24,22571.571
2020-10-25,22600.571
2020-10-26,22890.857
2020-10-27,23778.857
2020-10-28,24135.286
2020-10-29,24411.857
2020-10-30,23605.0
2020-10-31,21917.286
2020-11-01,21622.143
2020-11-02,20141.857
2020-11-03,17941.857
2020-11-04,17222.571
2020-11-05,16814.714
2020-11-06,16221.429
2020-11-07,16874.857
2020-11-08,16919.714
2020-11-09,17657.571
2020-11-10,22206.429
2020-11-11,22625.143
2020-11-12,24064.286
2020-11-13,26709.714
2020-11-14,27928.857
2020-11-15,28415.143
2020-11-16,28748.0
2020-11-17,27186.0
2020-11-18,28401.0
2020-11-19,28678.571
2020-11-20,28686.0
2020-11-21,29249.429
2020-11-22,29823.714
2020-11-23,30168.571
2020-11-24,30031.857
2020-11-25,31442.714
2020-11-26,32160.286
2020-11-27,31408.571
2020-11-28,34446.143
2020-11-29,34887.0
2020-11-30,35678.0
2020-12-01,38171.143
2020-12-02,38720.714
2020-12-03,40042.714
2020-12-04,42066.0
2020-12-05,40465.571
2020-12-06,41239.571
2020-12-07,41715.143
2020-12-08,41116.714
2020-12-09,41990.429
2020-12-10,42477.714
2020-12-11,43174.714
2020-12-12,43466.429
2020-12-13,42837.714
2020-12-14,42888.571
2020-12-15,42922.286
2020-12-16,44569.857
2020-12-17,46734.0
2020-12-18,46777.286
2020-12-19,47622.714
2020-12-20,47973.429
2020-12-21,48011.286
2020-12-22,49244.571
2020-12-23,46323.857
2020-12-24,44825.571
2020-12-25,40301.286
2020-12-26,35914.286
2020-12-27,34932.857
2020-12-28,34903.143
2020-12-29,34861.143
2020-12-30,36278.429
2020-12-31,35743.857
2021-01-01,35994.714
2021-01-02,35683.286
2021-01-03,35622.714
2021-01-04,35280.143
2021-01-05,35524.714
2021-01-06,36511.429
2021-01-07,41297.143
2021-01-08,46532.429
2021-01-09,51681.0
2021-01-10,53372.0
2021-01-11,54187.429
2021-01-12,55093.286
2021-01-13,54710.429
2021-01-14,51904.714
2021-01-15,53263.429
2021-01-16,54270.857
2021-01-17,54612.143
2021-01-18,54353.0
2021-01-19,54028.0
2021-01-20,54692.286
2021-01-21,53352.429
2021-01-22,51567.857
2021-01-23,51546.857
2021-01-24,51133.0
2021-01-25,51361.143
2021-01-26,51283.857
2021-01-27,51326.0
2021-01-28,51584.571
2021-01-29,51998.571
2021-01-30,51258.0
2021-01-31,51169.571
2021-02-01,50878.143
2021-02-02,50116.714
2021-02-03,48637.0
2021-02-04,48115.143
2021-02-05,46999.0
2021-02-06,46027.0
2021-02-07,45778.714
2021-02-08,45792.429
2021-02-09,45069.429
2021-02-10,46025.714
2021-02-11,45525.286
2021-02-12,45132.714
2021-02-13,44925.0
2021-02-14,45576.571
2021-02-15,45179.714
2021-02-16,47189.286
2021-02-17,45206.0
2021-02-18,45188.143
2021-02-19,45647.429
2021-02-20,46721.0
2021-02-21,46544.143
2021-02-22,47406.714
2021-02-23,47164.0
2021-02-24,49758.429
2021-02-25,51872.714
2021-02-26,53478.143
2021-02-27,54342.0
2021-02-28,54896.286
2021-03-01,56116.143
2021-03-02,55560.429
2021-03-03,56633.714
2021-03-04,57739.857
2021-03-05,59041.286
2021-03-06,60253.571
2021-03-07,67156.286
2021-03-08,66613.429
2021-03-09,68270.429
2021-03-10,69494.429
2021-03-11,69644.286
2021-03-12,71068.0
2021-03-13,71559.286
2021-03-14,66097.0
2021-03-15,67201.143
2021-03-16,69251.286
2021-03-17,70277.714
2021-03-18,71828.429
2021-03-19,72655.286
2021-03-20,73056.857
2021-03-21,73627.857
2021-03-22,75293.0
2021-03-23,75230.571
2021-03-24,75552.571
2021-03-25,77029.0
2021-03-26,75898.571
2021-03-27,77119.857
2021-03-28,77050.286
2021-03-29,75142.429
2021-03-30,75318.571
2021-03-31,75007.0
2021-04-01,73508.714
2021-04-02,71941.429
2021-04-03,65891.714
2021-04-04,63800.286
2021-04-05,63808.714
2021-04-06,63621.714
2021-04-07,63617.571
2021-04-08,63729.286
2021-04-09,66405.714
2021-04-10,70291.0
2021-04-11,71270.571
2021-04-12,70838.571
2021-04-13,70485.571
2021-04-14,68472.714
2021-04-15,65991.0
2021-04-16,65459.143
2021-04-17,65746.714
2021-04-18,65698.571
2021-04-19,65251.714
2021-04-20,63820.571
2021-04-21,63732.286
2021-04-22,60435.857
2021-04-23,58277.857
2021-04-24,57594.429
2021-04-25,56852.0
2021-04-26,56262.857
2021-04-27,56720.143
2021-04-28,57190.286
2021-04-29,60119.714
2021-04-30,60509.286
2021-05-01,59725.143
2021-05-02,59103.286
2021-05-03,60044.857
2021-05-04,59143.571
2021-05-05,59014.0
2021-05-06,59539.143
2021-05-07,60230.0
2021-05-08,60725.571
2021-05-09,61215.857
2021-05-10,60831.857
2021-05-11,60913.429
2021-05-12,60895.714
2021-05-13,62001.429
