year;month;day;lod(ms);sig(ms);
1962;6;26;1.0110;1.4000;
1962;6;27;0.9250;1.4000;
1962;6;28;0.7720;1.4000;
1962;6;29;0.6120;1.4000;
1962;6;30;0.4530;1.4000;
1962;7;1;0.3450;1.4000;
1962;7;2;0.2820;1.4000;
1962;7;3;0.2860;1.4000;
1962;7;4;0.3340;1.4000;
1962;7;5;0.4210;1.4000;
1962;7;6;0.5110;1.4000;
1962;7;7;0.6000;1.4000;
1962;7;8;0.6730;1.4000;
1962;7;9;0.7220;1.4000;
1962;7;10;0.7390;1.4000;
1962;7;11;0.7280;1.4000;
1962;7;12;0.6910;1.4000;
1962;7;13;0.6370;1.4000;
1962;7;14;0.5850;1.4000;
1962;7;15;0.5340;1.4000;
1962;7;16;0.5200;1.4000;
1962;7;17;0.5750;1.4000;
1962;7;18;0.6900;1.4000;
1962;7;19;0.8700;1.4000;
1962;7;20;1.0680;1.4000;
1962;7;21;1.2270;1.4000;
1962;7;22;1.3160;1.4000;
1962;7;23;1.3170;1.4000;
1962;7;24;1.2260;1.4000;
1962;7;25;1.0870;1.4000;
1962;7;26;0.9120;1.4000;
1962;7;27;0.7560;1.4000;
1962;7;28;0.6280;1.4000;
1962;7;29;0.5540;1.4000;
1962;7;30;0.5370;1.4000;
1962;7;31;0.5670;1.4000;
1962;8;1;0.6200;1.4000;
1962;8;2;0.6880;1.4000;
1962;8;3;0.7580;1.4000;
1962;8;4;0.8160;1.4000;
1962;8;5;0.8500;1.4000;
1962;8;6;0.8440;1.4000;
1962;8;7;0.8160;1.4000;
1962;8;8;0.7530;1.4000;
1962;8;9;0.6720;1.4000;
1962;8;10;0.5950;1.4000;
1962;8;11;0.5250;1.4000;
1962;8;12;0.4810;1.4000;
1962;8;13;0.4970;1.4000;
1962;8;14;0.5820;1.4000;
1962;8;15;0.7370;1.4000;
1962;8;16;0.9260;1.4000;
1962;8;17;1.1160;1.4000;
1962;8;18;1.2330;1.4000;
1962;8;19;1.2600;1.4000;
1962;8;20;1.1800;1.4000;
1962;8;21;1.0290;1.4000;
1962;8;22;0.8410;1.4000;
1962;8;23;0.6700;1.4000;
1962;8;24;0.5490;1.4000;
1962;8;25;0.4750;1.4000;
1962;8;26;0.4630;1.4000;
1962;8;27;0.5130;1.4000;
1962;8;28;0.6000;1.4000;
1962;8;29;0.7080;1.4000;
1962;8;30;0.8200;1.4000;
1962;8;31;0.9310;1.4000;
1962;9;1;1.0110;1.4000;
1962;9;2;1.0810;1.4000;
1962;9;3;1.1180;1.4000;
1962;9;4;1.1150;1.4000;
1962;9;5;1.0910;1.4000;
1962;9;6;1.0590;1.4000;
1962;9;7;1.0340;1.4000;
1962;9;8;1.0310;1.4000;
1962;9;9;1.0580;1.4000;
1962;9;10;1.1370;1.4000;
1962;9;11;1.2880;1.4000;
1962;9;12;1.4940;1.4000;
1962;9;13;1.7150;1.4000;
1962;9;14;1.9040;1.4000;
1962;9;15;2.0030;1.4000;
1962;9;16;1.9710;1.4000;
1962;9;17;1.8150;1.4000;
1962;9;18;1.5880;1.4000;
1962;9;19;1.3560;1.4000;
1962;9;20;1.1570;1.4000;
1962;9;21;1.0200;1.4000;
1962;9;22;0.9410;1.4000;
1962;9;23;0.9240;1.4000;
1962;9;24;0.9620;1.4000;
1962;9;25;1.0260;1.4000;
1962;9;26;1.0990;1.4000;
1962;9;27;1.1660;1.4000;
1962;9;28;1.2220;1.4000;
1962;9;29;1.2500;1.4000;
1962;9;30;1.2440;1.4000;
1962;10;1;1.2050;1.4000;
1962;10;2;1.1480;1.4000;
1962;10;3;1.0770;1.4000;
1962;10;4;1.0080;1.4000;
1962;10;5;0.9700;1.4000;
1962;10;6;0.9690;1.4000;
1962;10;7;1.0300;1.4000;
1962;10;8;1.1590;1.4000;
1962;10;9;1.3550;1.4000;
1962;10;10;1.6020;1.4000;
1962;10;11;1.8640;1.4000;
1962;10;12;2.0720;1.4000;
1962;10;13;2.1750;1.4000;
1962;10;14;2.1500;1.4000;
1962;10;15;2.0100;1.4000;
1962;10;16;1.8250;1.4000;
1962;10;17;1.6460;1.4000;
1962;10;18;1.5290;1.4000;
1962;10;19;1.4640;1.4000;
1962;10;20;1.4710;1.4000;
1962;10;21;1.5220;1.4000;
1962;10;22;1.6180;1.4000;
1962;10;23;1.7190;1.4000;
1962;10;24;1.8080;1.4000;
1962;10;25;1.8810;1.4000;
1962;10;26;1.9180;1.4000;
1962;10;27;1.9110;1.4000;
1962;10;28;1.8710;1.4000;
1962;10;29;1.7990;1.4000;
1962;10;30;1.7050;1.4000;
1962;10;31;1.5950;1.4000;
1962;11;1;1.4790;1.4000;
1962;11;2;1.4060;1.4000;
1962;11;3;1.3930;1.4000;
1962;11;4;1.4410;1.4000;
1962;11;5;1.5520;1.4000;
1962;11;6;1.7170;1.4000;
1962;11;7;1.9090;1.4000;
1962;11;8;2.0920;1.4000;
1962;11;9;2.2050;1.4000;
1962;11;10;2.2200;1.4000;
1962;11;11;2.1200;1.4000;
1962;11;12;1.9440;1.4000;
1962;11;13;1.7270;1.4000;
1962;11;14;1.5360;1.4000;
1962;11;15;1.4090;1.4000;
1962;11;16;1.3560;1.4000;
1962;11;17;1.3570;1.4000;
1962;11;18;1.4110;1.4000;
1962;11;19;1.4870;1.4000;
1962;11;20;1.5660;1.4000;
1962;11;21;1.6230;1.4000;
1962;11;22;1.6670;1.4000;
1962;11;23;1.6800;1.4000;
1962;11;24;1.6690;1.4000;
1962;11;25;1.6270;1.4000;
1962;11;26;1.5700;1.4000;
1962;11;27;1.5000;1.4000;
1962;11;28;1.4230;1.4000;
1962;11;29;1.3830;1.4000;
1962;11;30;1.3780;1.4000;
1962;12;1;1.4330;1.4000;
1962;12;2;1.5600;1.4000;
1962;12;3;1.7270;1.4000;
1962;12;4;1.9210;1.4000;
1962;12;5;2.1090;1.4000;
1962;12;6;2.2530;1.4000;
1962;12;7;2.3170;1.4000;
1962;12;8;2.2720;1.4000;
1962;12;9;2.1390;1.4000;
1962;12;10;1.9430;1.4000;
1962;12;11;1.7550;1.4000;
1962;12;12;1.6010;1.4000;
1962;12;13;1.5150;1.4000;
1962;12;14;1.4880;1.4000;
1962;12;15;1.5110;1.4000;
1962;12;16;1.5430;1.4000;
1962;12;17;1.5930;1.4000;
1962;12;18;1.6340;1.4000;
1962;12;19;1.6530;1.4000;
1962;12;20;1.6430;1.4000;
1962;12;21;1.6000;1.4000;
1962;12;22;1.5160;1.4000;
1962;12;23;1.4170;1.4000;
1962;12;24;1.3040;1.4000;
1962;12;25;1.1880;1.4000;
1962;12;26;1.0790;1.4000;
1962;12;27;1.0190;1.4000;
1962;12;28;1.0160;1.4000;
1962;12;29;1.0780;1.4000;
1962;12;30;1.1960;1.4000;
1962;12;31;1.3410;1.4000;
1963;1;1;1.4780;1.4000;
1963;1;2;1.5820;1.4000;
