,high,low,open,close,volume,adjclose
2000-02-01,7.837127208709717,6.6637468338012695,7.408055782318115,7.180385112762451,10794184,6.079031944274902
2000-03-01,8.581436157226562,7.197897911071777,7.197897911071777,7.837127208709717,10779338,6.635042190551758
2000-04-01,8.406304359436035,6.217162132263184,7.714535236358643,8.31873893737793,6085718,7.042783737182617
2000-05-01,8.31873893737793,6.567424774169922,8.31873893737793,7.171627998352051,4500622,6.071619987487793
2000-06-01,10.043782234191895,7.180385112762451,7.180385112762451,9.623467445373535,7743902,8.147387504577637
2000-07-01,10.070052146911621,8.572678565979004,9.632224082946777,8.7828369140625,5431352,7.435695648193359
2000-08-01,11.383537292480469,8.756567001342773,8.7653226852417,10.42031478881836,8483918,8.822013854980469
2000-09-01,11.690016746520996,10.070052146911621,10.507880210876465,11.050787925720215,4631952,9.355778694152832
2000-10-01,11.1996488571167,8.669000625610352,10.945709228515625,9.719788551330566,5736266,8.228934288024902
2000-11-01,10.46409797668457,8.756567001342773,9.719788551330566,8.905428886413574,3599584,7.539487838745117
2000-12-01,11.60245132446289,8.800350189208984,8.931697845458984,10.814359664916992,10089570,9.155617713928223
2001-01-01,14.483362197875977,10.516636848449707,10.814359664916992,13.922942161560059,16187957,11.787395477294922
2001-02-01,14.27320384979248,12.705779075622559,13.922942161560059,13.616461753845215,4794110,11.527924537658691
2001-03-01,14.229421615600586,12.259194374084473,13.572678565979004,13.870402336120605,8253795,11.742914199829102
2001-04-01,17.60070037841797,13.572678565979004,14.185639381408691,16.462345123291016,8629402,13.937295913696289
2001-05-01,17.513134002685547,15.070052146911621,16.462345123291016,16.63747787475586,4787714,14.085567474365234
2001-06-01,17.425569534301758,14.886163711547852,16.63747787475586,15.639228820800781,6081485,13.240429878234863
2001-07-01,15.761820793151855,14.448335647583008,15.691767692565918,15.35901927947998,4454934,13.003202438354492
2001-08-01,15.92819595336914,11.733799934387207,15.44658374786377,11.873905181884766,5497122,10.052645683288574
2001-09-01,12.565673828125,6.129597187042236,11.99649715423584,6.479858875274658,6328731,5.48595666885376
2001-10-01,8.931697845458984,5.77933406829834,5.928195953369141,8.642731666564941,7768789,7.317082405090332
2001-11-01,9.185639381408691,7.530646800994873,8.651488304138184,8.458844184875488,7689765,7.161397457122803
2001-12-01,10.95446491241455,8.45008659362793,8.669000625610352,10.95446491241455,6321190,9.2742338180542
2002-01-01,11.690016746520996,9.807354927062988,10.95446491241455,10.551663398742676,4908879,8.933213233947754
2002-02-01,11.900175094604492,10.166374206542969,10.560420036315918,10.989492416381836,4318581,9.303888320922852
2002-03-01,12.699999809265137,10.770577430725098,10.989492416381836,11.100000381469727,4382662,9.397443771362305
2002-04-01,12.460000038146973,10.5,11.100000381469727,12.0600004196167,5574600,10.210197448730469
2002-05-01,13.300000190734863,12.0,12.0600004196167,13.270000457763672,3710000,11.23460578918457
2002-06-01,13.859999656677246,11.75,13.390000343322754,13.850000381469727,4413300,11.725639343261719
2002-07-01,14.050000190734863,12.0,13.779999732971191,13.699999809265137,3402600,11.598649978637695
2002-08-01,13.729999542236328,11.0,13.729999542236328,12.0,4227700,10.159401893615723
2002-09-01,12.550000190734863,11.100000381469727,12.0,11.75,3662800,9.947747230529785
2002-10-01,13.989999771118164,11.510000228881836,11.949999809265137,13.350000381469727,3107100,11.302332878112793
2002-11-01,13.5,11.479999542236328,13.350000381469727,12.40999984741211,2923900,10.506511688232422
2002-12-01,13.100000381469727,12.0600004196167,12.579999923706055,12.800000190734863,2793900,10.836692810058594
2003-01-01,12.850000381469727,10.649999618530273,12.800000190734863,11.149999618530273,3344600,9.439779281616211
2003-02-01,11.380000114440918,6.800000190734863,11.0,7.789999961853027,2685900,6.595143795013428
2003-03-01,8.789999961853027,6.880000114440918,7.789999961853027,8.279999732971191,4390600,7.009984016418457
2003-04-01,9.600000381469727,8.0,8.399999618530273,8.449999809265137,4944900,7.15391206741333
2003-05-01,9.539999961853027,8.25,8.449999809265137,8.960000038146973,6242600,7.585686683654785
2003-06-01,11.800000190734863,8.899999618530273,9.0,10.449999809265137,6336100,8.847142219543457
2003-07-01,11.699999809265137,9.949999809265137,10.449999809265137,10.550000190734863,4278200,8.931808471679688
2003-08-01,11.800000190734863,10.020000457763672,10.600000381469727,11.75,5843900,9.947747230529785
