t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
0.27353131350452614,0.29491501939774617,0.26398639078761005,0.25815167190097915,0.1337597758482665,0.2063396760884291,0.27223043290843035,0.281659892850545
0.29491501939774617,0.26398639078761005,0.25815167190097915,0.1337597758482665,0.2063396760884291,0.27223043290843035,0.281659892850545,0.2753941129379888
0.26398639078761005,0.25815167190097915,0.1337597758482665,0.2063396760884291,0.27223043290843035,0.281659892850545,0.2753941129379888,0.26778896483773634
0.25815167190097915,0.1337597758482665,0.2063396760884291,0.27223043290843035,0.281659892850545,0.2753941129379888,0.26778896483773634,0.25274031652195333
0.1337597758482665,0.2063396760884291,0.27223043290843035,0.281659892850545,0.2753941129379888,0.26778896483773634,0.25274031652195333,0.20527741856025616
0.2063396760884291,0.27223043290843035,0.281659892850545,0.2753941129379888,0.26778896483773634,0.25274031652195333,0.20527741856025616,0.19140649054744752
0.27223043290843035,0.281659892850545,0.2753941129379888,0.26778896483773634,0.25274031652195333,0.20527741856025616,0.19140649054744752,0.25050803620912615
0.281659892850545,0.2753941129379888,0.26778896483773634,0.25274031652195333,0.20527741856025616,0.19140649054744752,0.25050803620912615,0.2670884906706078
0.2753941129379888,0.26778896483773634,0.25274031652195333,0.20527741856025616,0.19140649054744752,0.25050803620912615,0.2670884906706078,0.24682862245212145
0.26778896483773634,0.25274031652195333,0.20527741856025616,0.19140649054744752,0.25050803620912615,0.2670884906706078,0.24682862245212145,0.2337813288995628
0.25274031652195333,0.20527741856025616,0.19140649054744752,0.25050803620912615,0.2670884906706078,0.24682862245212145,0.2337813288995628,0.24715191822156535
0.20527741856025616,0.19140649054744752,0.25050803620912615,0.2670884906706078,0.24682862245212145,0.2337813288995628,0.24715191822156535,0.1791366463452183
0.19140649054744752,0.25050803620912615,0.2670884906706078,0.24682862245212145,0.2337813288995628,0.24715191822156535,0.1791366463452183,0.14094925795923394
0.25050803620912615,0.2670884906706078,0.24682862245212145,0.2337813288995628,0.24715191822156535,0.1791366463452183,0.14094925795923394,0.21951782745242931
0.2670884906706078,0.24682862245212145,0.2337813288995628,0.24715191822156535,0.1791366463452183,0.14094925795923394,0.21951782745242931,0.2505927089106472
0.24682862245212145,0.2337813288995628,0.24715191822156535,0.1791366463452183,0.14094925795923394,0.21951782745242931,0.2505927089106472,0.2575358704353716
0.2337813288995628,0.24715191822156535,0.1791366463452183,0.14094925795923394,0.21951782745242931,0.2505927089106472,0.2575358704353716,0.24730586858796724
