Years;SCH15;STO15;WIL16;BCC;CCSM;GISS;IPSL;MPI
1071;0.0096;;-0.1690;-0.4885;-0.8776;-0.1717;-1.0988;-0.7892
1072;-0.0645;;0.0481;-0.4626;-0.4226;-0.0784;-1.2651;-0.5881
1073;0.1219;;-0.0294;-0.4282;-0.2868;0.0482;-1.0696;-0.6660
1074;0.3892;;0.0905;-0.4209;-0.0301;-0.3025;-0.7640;-0.7914
1075;0.1215;;-0.1150;-0.7244;-0.6178;-0.0315;-1.0212;-0.8638
1076;0.0494;;-0.2862;-0.6556;-0.1390;-0.0520;-0.9079;-0.2095
1077;-0.3294;;-0.0636;-0.5625;-0.4792;-0.1236;-0.8814;-0.5657
1078;0.0404;;0.0391;-0.8487;-0.0713;-0.2138;-0.7385;-0.5842
1079;0.2545;;0.1247;-0.6917;-0.4044;-0.0313;-1.1715;-0.2379
1080;0.1091;;-0.0465;-0.3813;-0.6894;-0.0642;-0.9574;-0.8670
1081;0.2537;;0.0391;-0.3655;-0.5302;-0.0457;-1.0185;-0.3885
1082;-0.0128;;-0.1321;-0.9261;-0.8969;-0.2106;-1.0424;-0.2676
1083;-0.0304;;-0.1835;-0.4315;-0.7366;-0.1435;-1.1329;-0.7768
1084;0.3259;;0.1076;-0.2637;-0.7347;0.1572;-1.1138;-0.4199
1085;0.1260;;-0.0636;-0.2381;-0.5317;-0.0340;-0.8724;-0.5215
1086;0.3844;;0.2788;-0.6358;-0.7640;0.0315;-1.0198;-0.6143
1087;0.5918;;-0.0978;-0.5344;-0.3565;0.1904;-0.8079;-0.7939
1088;0.1623;;-0.1321;-0.4495;-0.5551;0.0306;-1.0414;-0.8102
1089;0.1987;;0.1590;0.1088;-0.6376;-0.1174;-1.2385;-0.5635
1090;0.2923;;0.2103;-0.5063;-0.3528;-0.0360;-1.1556;-0.6961
1091;0.3726;;0.1932;-0.3768;-0.3764;0.2313;-0.8221;-0.6687
1092;0.4973;;0.0734;-0.4203;-0.2405;0.0021;-0.9007;-0.6010
1093;0.0702;;0.1418;-0.5828;-0.1850;-0.1667;-1.1210;-0.5044
1094;0.2000;;-0.0294;-0.7101;-0.4411;-0.3166;-1.0083;-0.3722
1095;0.2248;;-0.1321;-0.3884;-0.1061;0.2137;-0.9416;-0.7930
1096;0.1067;;0.1076;-0.5939;-0.8157;-0.0469;-0.5069;-0.6550
1097;0.3080;;0.0391;-0.3854;-0.7942;-0.1626;-0.7176;-0.6057
1098;0.0695;;-0.2862;-0.6872;-0.0484;-0.0572;-0.9261;-0.3968
1099;-0.3063;;-0.6115;-0.1617;-0.4788;0.2361;-0.8317;-0.3119
1100;-0.0233;;-0.5087;-0.6171;-0.5309;-0.2058;-0.8499;-0.9440
1101;-0.1231;;-0.4916;-0.6532;-0.1480;-0.3867;-0.5398;-0.6372
1102;0.1329;;-0.3033;-0.5309;-0.3660;-0.1990;-1.7145;-0.4927
1103;0.4746;;-0.0465;-0.4943;-0.4743;-0.0783;-0.9271;-0.5166
1104;0.1756;;-0.2348;-0.7203;-0.7760;-0.3432;-1.0718;-0.9020
1105;0.3410;;-0.0978;-0.7409;-0.2828;-0.1395;-1.2868;-0.7468
1106;0.4942;;0.0220;-0.6785;-0.4630;-0.1973;-0.9032;-0.7095
1107;-0.0143;;-0.2519;-0.7118;-0.1137;-0.1515;-1.0326;-0.6948
1108;-0.0048;;-0.6628;-0.6159;-0.2649;-0.2338;-1.0378;-0.7077
1109;-0.4124;;-0.8683;-0.2985;-0.4329;-0.2724;-0.8098;-0.4817
1110;-0.1944;;-0.4574;-0.5839;-0.3569;-0.4176;-1.0198;-0.4495
1111;-0.2739;;-0.7827;-0.0055;-0.4807;-0.2251;-0.9438;-0.3485
1112;0.0311;;-0.5259;-0.3152;-0.7477;-0.2667;-1.3582;-0.4355
1113;0.0470;;-0.3375;-0.6335;-0.6255;0.1456;-1.0062;-0.3327
1114;-0.1204;;-0.3889;-0.5143;-0.6723;-0.2881;-0.9266;-0.2653
1115;-0.1556;;-0.5943;-0.3208;-0.1685;-0.3220;-1.1755;-0.4072
1116;-0.1437;;-0.4574;-0.8033;-0.2083;-0.1173;-1.0699;-0.3490
1117;-0.1925;;-0.4916;-0.2862;-0.6709;-0.1263;-0.8999;-0.2343
1118;-0.0384;;-0.6115;-0.4796;-0.2151;-0.5844;-1.0369;-0.9202
1119;0.3318;;-0.5772;-0.9058;-0.5378;-0.1636;-1.3434;0.0237
1120;-0.0430;;-0.7142;-0.5718;-0.4508;-0.0727;-1.1707;-0.3537
1121;0.0663;;-0.5943;-0.6404;-0.4168;-0.2895;-1.1919;-0.5401
1122;-0.1337;;-0.4231;-0.4873;-0.5919;-0.0364;-0.9410;-0.6177
1123;-0.0128;;-0.0807;-0.7001;-0.3523;-0.1510;-1.1622;-0.7459
1124;-0.0395;;-0.2177;-0.8650;-0.5184;-0.0982;-0.9000;-0.5734
1125;0.1287;;-0.2177;0.0707;-0.6537;-0.0155;-1.0603;-0.8194
1126;-0.1001;;-0.5601;-0.7441;-0.3082;0.1420;-1.2163;-0.4104
1127;-0.1948;;-0.7484;-0.5303;-0.3306;0.0500;-1.1691;-0.3859
1128;0.0461;;-0.4745;-0.5211;-0.5841;-0.1684;-1.4311;-0.2954
1129;0.0341;;-0.2348;-0.6023;-0.4648;-0.2752;-1.1025;-0.4805
1130;0.1386;;-0.5601;-0.7364;-0.3716;-0.0128;-1.0897;-0.4032
1131;0.2171;;-0.1150;-0.2381;-0.5735;-0.0835;-0.8730;-0.7974
1132;0.1351;;-0.3033;-0.3943;-0.3158;0.0053;-1.1892;-0.1891
1133;0.1492;;-0.2006;-0.5226;-0.5917;-0.1532;-1.0115;-0.2176
1134;0.0876;;-0.5259;-0.5983;-0.5197;-0.2466;-1.1704;-0.6229
1135;0.3147;;-0.4926;-0.4786;-0.1530;0.0535;-1.4758;-0.4924
1136;0.0831;;-0.5427;-0.6492;-0.2584;-0.0087;-0.7981;-0.5511
1137;0.0697;;-0.6429;-0.9209;-0.4539;-0.2220;-1.0583;-0.4213
1138;0.1832;;-0.4926;-0.3932;-0.1770;-0.0929;-0.5750;-0.2981
1139;0.0116;;-0.3589;-0.5530;-0.2532;-0.0903;-0.9608;-0.2029
1140;0.0877;;-0.6095;-0.7576;-0.3068;-0.0678;-0.7440;-0.1529
1141;-0.0197;;-0.5093;-0.8597;-0.3715;-0.2423;-0.9480;-0.2896
1142;0.1662;;-0.4592;-0.6456;-0.5678;0.1284;-0.9294;-0.3958
1143;0.1006;;-0.4425;-0.2674;-0.1538;-0.1882;-0.8438;-0.3466
1144;0.0954;;-0.4592;-0.5281;-0.1113;0.1281;-0.5021;-0.2855
1145;0.0945;;-0.5260;-0.0548;0.0152;0.0062;-1.1723;-0.4946
1146;0.1497;;-0.3756;0.0260;-0.5851;-0.0545;-1.1749;-0.4300
1147;0.1560;;-0.3756;-0.7002;-0.5268;-0.1474;-0.9575;-0.6322
1148;0.2094;;-0.2253;-0.2233;-0.2764;-0.1204;-0.6730;-0.0498
1149;0.2346;;-0.3088;-0.5082;-0.3506;-0.1316;-0.9639;-0.6997
1150;0.2231;;-0.4759;-0.1683;-0.5801;-0.1531;-0.7672;-0.3931
1151;0.0792;;-0.4592;-0.4187;-0.5972;-0.3584;-1.1547;-0.7951
1152;0.0754;;-0.5427;-0.2893;-0.3256;-0.1851;-1.1734;-0.4627
1153;0.2405;;-0.2086;-0.2632;0.2149;0.1198;-1.3573;-0.7088
1154;0.0590;;-0.1084;-0.5381;-0.5815;0.0904;-1.4910;-0.5783
1155;0.3166;;0.0754;-0.2966;-0.5970;-0.1227;-1.4766;-0.6324
1156;0.1467;;0.1255;-0.5367;-0.4987;-0.2078;-1.1907;-0.5094
1157;0.0548;;0.1255;-0.5618;-0.2227;0.0047;-1.0761;-0.4565
1158;0.2358;;0.1088;-0.1883;-0.5816;0.0317;-1.2609;0.0761
1159;0.1945;;0.1255;-0.4882;-0.7231;-0.0801;-1.1580;0.2027
1160;0.0330;;0.0419;-0.7886;-0.5023;-0.0523;-1.6346;-0.4441
1161;0.1247;;-0.0750;-0.3514;-0.7691;-0.2712;-1.2279;-0.3567
1162;0.3764;;0.3092;-0.4759;-0.3147;0.0503;-1.0375;-0.4169
1163;0.1672;;0.1422;-0.3845;-0.6094;-0.1255;-1.1463;-0.7764
1164;0.1683;;0.1756;-0.2075;-0.3169;0.1034;-1.2958;-0.3667
1165;0.3337;;0.1589;0.0567;-0.3264;-0.2904;-0.5768;-0.8980
1166;0.1893;;0.2424;-0.5466;-0.6157;-0.3203;-0.7892;-0.4929
1167;0.2289;;0.3593;-0.5455;-0.9150;-0.1359;-0.7095;-0.7782
1168;0.5724;;0.7769;-0.3539;-0.5052;-0.1218;-1.3537;-0.3476
1169;0.1656;;0.1422;-0.4546;-0.5652;0.1565;-1.5744;-0.3488
1170;0.1951;;0.1756;-0.0635;-0.6021;-0.3906;-0.9822;-0.8094
1171;-0.0617;;-0.2253;-0.2847;-0.0863;-0.5377;-1.2125;-1.1313
1172;-0.3086;;-0.1251;-0.5883;-0.8022;-0.3045;-1.1959;-0.9177
1173;0.1694;;-0.2754;-0.3089;-0.9332;0.2367;-1.2585;-0.6956
1174;0.0184;;-0.2086;-0.6723;-0.6680;0.0512;-1.1416;-0.5269
1175;0.4154;;0.2424;-0.3796;-0.5370;0.1940;-1.3973;-0.5444
